Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN
Date,,,,,,
01-12-2018,75.09850311,75.09850311,88.91699982,65.34999847,88.47299957,3096254000
01-01-2019,85.93650055,85.93650055,86.82050323,73.04650116,73.26000214,2680034000
01-02-2019,81.99150085,81.99150085,83.65299988,78.33799744,81.94400024,1618738000
01-03-2019,89.03749847,89.03749847,91.1875,79.32849884,82.75650024,2016644000
01-04-2019,96.3259964,96.3259964,97.81700134,89.93650055,90.00550079,1624784000
01-05-2019,88.75350189,88.75350189,98.22000122,88.63500214,96.65450287,1964288000
01-06-2019,94.6815033,94.6815033,96.76000214,83.59999847,88.00050354,1494930000
01-07-2019,93.33899689,93.33899689,101.7900009,92.47200012,96.14900208,1462976000
01-08-2019,88.8144989,88.8144989,94.89600372,87.17549896,93.58599854,1595424000
01-09-2019,86.79550171,86.79550171,92.68299866,85.46099854,88.5,1223458000
01-10-2019,88.83300018,88.83300018,89.94249725,84.25299835,87.30000305,1407210000
01-11-2019,90.04000092,90.04000092,91.23449707,86.13549805,89.40049744,1041524000
01-12-2019,92.39199829,92.39199829,95.06999969,86.75,90.22000122,1362992000
01-01-2020,100.435997,100.435997,102.7860031,90.76699829,93.75,1693966000
01-02-2020,94.1875,94.1875,109.2975006,90.5565033,100.5299988,1850202000
01-03-2020,97.48600006,97.48600006,99.8164978,81.30149841,95.32450104,3276182000
01-04-2020,123.6999969,123.6999969,123.75,94.45749664,96.64849854,2492196000
01-05-2020,122.1184998,122.1184998,126.2724991,112.8190002,116.8399963,1651688000
01-06-2020,137.9409943,137.9409943,139.8000031,121.8564987,122.4000015,1756366000
01-07-2020,158.2339935,158.2339935,167.2144928,137.6999969,137.8995056,2550040000
01-08-2020,172.5480042,172.5480042,174.75,153.6499939,159.0254974,1670332000
01-09-2020,157.4364929,157.4364929,177.6125031,143.5500031,174.4790039,2317986000
01-10-2020,151.8074951,151.8074951,174.8119965,150.9499969,160.3999939,2324522000
01-11-2020,158.4019928,158.4019928,168.3399963,147.5059967,153.0870056,1816210000
01-12-2020,162.8464966,162.8464966,167.5325012,153.6410065,159.4250031,1551124000
01-01-2021,160.3099976,160.3099976,168.1945038,154.3000031,163.5,1430578000
01-02-2021,154.6464996,154.6464996,171.6999969,151.8350067,162.1179962,1442140000
01-03-2021,154.7039948,154.7039948,159.1000061,144.0500031,156.3945007,1563760000
01-04-2021,173.3710022,173.3710022,177.6999969,155.7774963,155.8970032,1536792000
01-05-2021,161.1535034,161.1535034,174.3325043,156.3684998,174.236496,1503678000
01-06-2021,172.0079956,172.0079956,176.2429962,158.6100006,162.1750031,1340220000
01-07-2021,166.3795013,166.3795013,188.654007,165.348999,171.7304993,1674586000
01-08-2021,173.539505,173.539505,173.6289978,158.7879944,167.6549988,1256964000
01-09-2021,164.2519989,164.2519989,177.4994965,163.6994934,174.8200073,1250554000
01-10-2021,168.6215057,168.6215057,173.9499969,158.8125,164.4505005,1273466000
01-11-2021,175.3535004,175.3535004,188.1074982,164.1775055,168.0899963,1515990000
01-12-2021,166.7169952,166.7169952,177.9940033,165.1950073,177.25,1287634000
01-01-2022,149.5735016,149.5735016,171.3999939,135.352005,167.5500031,1524654000
01-02-2022,153.5630035,153.5630035,163.8345032,138.3329926,150,1689604000
01-03-2022,162.9974976,162.9974976,170.8314972,133.5724945,152.7324982,1628486000
01-04-2022,124.2815018,124.2815018,168.3945007,121.625,164.1495056,1465008000
01-05-2022,120.2095032,120.2095032,126.2204971,101.2600021,122.401001,2258476000
01-06-2022,106.2099991,106.2099991,128.9900055,101.4300003,122.2559967,1767601100
01-07-2022,134.9499969,134.9499969,137.6499939,105.8499985,106.2900009,1337852600
01-08-2022,126.7699966,126.7699966,146.5700073,126.7399979,134.9600067,1170449000
01-09-2022,113,113,136.4900055,112.0599976,126,1210487600
01-10-2022,102.4400024,102.4400024,123,97.66000366,113.5800018,1459311500
01-11-2022,96.54000092,96.54000092,104.5800018,85.87000275,103.9899979,2035133200
01-12-2022,84,84,97.23000336,81.69000244,96.98999786,1549193300
01-01-2023,103.1299973,103.1299973,103.4899979,81.43000031,85.45999908,1523798600
01-02-2023,94.23000336,94.23000336,114,92.31999969,102.5299988,1364102000
01-03-2023,103.2900009,103.2900009,103.4899979,88.12000275,93.87000275,1349240300
01-04-2023,105.4499969,105.4499969,110.8600006,97.70999908,102.3000031,1224083600
01-05-2023,120.5800018,120.5800018,122.9199982,101.1500015,104.9499969,1432891600
01-06-2023,130.3600006,130.3600006,131.4900055,119.9300003,120.6900024,1242648800
01-07-2023,133.6799927,133.6799927,136.6499939,125.9199982,130.8200073,1058754800
01-08-2023,138.0099945,138.0099945,143.6300049,126.4100037,133.5500031,1210426200
01-09-2023,127.1200027,127.1200027,145.8600006,123.0400009,139.4600067,1120271900
01-10-2023,133.0899963,133.0899963,134.4799957,118.3499985,127.2799988,1224564700
01-11-2023,146.0899963,146.0899963,149.2599945,133.7100067,133.9600067,1025986900
01-12-2023,151.9400024,151.9400024,155.6300049,142.8099976,146,931128600
