Price,Adj Close,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META,META
Date,,,,,,
01-12-2018,130.6964874,131.0899963,147.1900024,123.0199966,143,558786200
01-01-2019,166.189621,166.6900024,171.6799927,128.5599976,128.9900055,527547900
01-02-2019,160.9653473,161.4499969,172.4700012,159.5899963,165.8399963,302243200
01-03-2019,166.189621,166.6900024,174.3000031,159.2799988,162.6000061,387936100
01-04-2019,192.8194427,193.3999939,198.4799957,167.2799988,167.8300018,381985300
01-05-2019,176.9372711,177.4700012,196.1799927,177.1600037,194.7799988,286821500
01-06-2019,192.420639,193,198.8800049,160.8399963,175,426428600
01-07-2019,193.6469421,194.2299957,208.6600037,191.9299927,195.2100067,351020900
01-08-2019,185.1126556,185.6699982,198.4700012,176.6600037,194.1699982,294689500
01-09-2019,177.5454407,178.0800018,193.1000061,175.6600037,184,264538500
01-10-2019,191.0746918,191.6499939,198.0899963,173.0899963,179.1499939,326207200
01-11-2019,201.0347137,201.6399994,203.8000031,188.5399933,192.8500061,258303900
01-12-2019,204.6338654,205.25,208.9299927,193.1699982,202.1300049,276257100
01-01-2020,201.303894,201.9100037,224.1999969,201.0599976,206.75,347314600
01-02-2020,191.8922424,192.4700012,218.7700043,181.8200073,203.4400024,317547300
01-03-2020,166.2992859,166.8000031,197.2400055,137.1000061,194.0299988,649467700
01-04-2020,204.0955048,204.7100067,209.6900024,150.8300018,161.6199951,541334600
01-05-2020,224.4143066,225.0899963,240.8999939,198.7599945,201.6000061,509476500
01-06-2020,226.388382,227.0700073,245.1900024,207.1100006,224.5899963,548043800
01-07-2020,252.9085083,253.6699982,255.8500061,226.8999939,228.5,517599700
01-08-2020,292.3198547,293.2000122,304.6700134,247.4299927,252.6499939,574239100
01-09-2020,261.1138306,261.8999939,303.6000061,244.1300049,294.7099915,499115300
01-10-2020,262.3201599,263.1099854,285.2399902,254.8200073,265.3500061,454101600
01-11-2020,276.1385803,276.9700012,297.3800049,257.3399963,264.6000061,356771600
01-12-2020,272.3400269,273.1600037,291.7799988,264.6300049,279.1600037,363901000
01-01-2021,257.5545349,258.3299866,286.7900085,244.6100006,274.7799988,452633100
01-02-2021,256.8466797,257.6199951,276.6000061,254.0399933,259.519989,317775200
01-03-2021,293.645874,294.5299988,299.7099915,253.5,260.8200073,497416700
01-04-2021,324.104126,325.0799866,331.8099976,296.0400085,298.3999939,421257700
01-05-2021,327.7432251,328.730011,333.7799988,298.1900024,326.1700134,353423700
01-06-2021,346.6662292,347.7099915,358.1400146,323.480011,330.1499939,344810400
01-07-2021,355.2304382,356.2999878,377.5499878,334.5,346.8200073,335420300
01-08-2021,378.2411499,379.3800049,382.7600098,347.7000122,358.1000061,226132300
01-09-2021,338.3712158,339.3900146,384.3299866,338.1499939,379.5899963,338121800
01-10-2021,322.5986633,323.5700073,345.019989,308.1099854,341.6099854,588382500
01-11-2021,323.4860229,324.4599915,353.8299866,323.2000122,326.0400085,441125000
01-12-2021,335.340332,336.3500061,352.7099915,299.5,330.2900085,438246900
01-01-2022,312.3196411,313.2600098,343.0899963,289.0100098,338.2999878,427237300
01-02-2022,210.3965149,211.0299988,328,190.2200012,314.5599976,1128039600
01-03-2022,221.6925201,222.3600006,231.1499939,185.8200073,209.8699951,733274500
01-04-2022,199.8682251,200.4700012,236.8600006,169,224.5500031,672255000
01-05-2022,193.0587311,193.6399994,224.3000031,176.1100006,201.1699982,680548800
01-06-2022,160.7659607,161.25,202.0299988,154.25,196.5099945,685975600
01-07-2022,158.6224213,159.1000061,183.8500061,154.8500061,160.3099976,586482400
01-08-2022,162.4409027,162.9299927,183.1000061,155.2299957,157.25,551922900
01-09-2022,135.2727051,135.6799927,171.3899994,134.1199951,163.5800018,635014800
01-10-2022,92.88034821,93.16000366,142.3899994,92.59999847,137.1399994,1107662200
01-11-2022,117.7454834,118.0999985,118.7399979,88.08999634,94.33000183,1063791200
01-12-2022,119.9787598,120.3399963,124.6699982,112.4599991,119.1999969,653019800
01-01-2023,148.5228119,148.9700012,153.1900024,122.2799988,122.8199997,548770600
01-02-2023,174.414856,174.9400024,197.1600037,147.0599976,148.0299988,772170900
01-03-2023,211.3037872,211.9400024,212.1699982,171.4299927,174.5899963,690053000
01-04-2023,239.5986023,240.3200073,241.6900024,207.1300049,208.8399963,446687900
01-05-2023,263.925354,264.7200012,268.6499939,229.8500061,238.6199951,486968500
01-06-2023,286.1185608,286.980011,289.7900085,258.8800049,265.8999939,480979900
01-07-2023,317.6436157,318.6000061,326.2000122,284.8500061,286.7000122,624605100
01-08-2023,295.0018005,295.8900146,324.1400146,274.3800049,317.5400085,423147800
01-09-2023,299.3088379,300.2099915,312.8699951,286.7900085,299.3699951,406686600
01-10-2023,300.3656006,301.269989,330.5400085,279.3999939,302.7399902,511307900
01-11-2023,326.1679382,327.1499939,342.9200134,301.8500061,301.8500061,329270500
01-12-2023,352.8974609,353.9599915,361.8999939,313.6600037,325.480011,332813800
